FOX, 6W - 12L, VICTORY, TIP, DEFEAT, 5W - 14L, SATURDAY, JANUARY 16, 2016 , DAY 1, WEEK 1
REN, 6W - 13L, VICTORY, TL, DEFEAT, 10W - 8L, SATURDAY, JANUARY 16, 2016 , DAY 1, WEEK 1
DIG, 4W - 14L, DEFEAT, NRG, VICTORY, 9W - 9L, SATURDAY, JANUARY 16, 2016 , DAY 1, WEEK 1
C9, 12W - 6L, DEFEAT, IMT, VICTORY, 13W - 1L, SATURDAY, JANUARY 16, 2016 , DAY 1, WEEK 1
TSM, 9W - 9L, DEFEAT, CLG, VICTORY, 13W - 5L, SATURDAY, JANUARY 16, 2016 , DAY 1, WEEK 1
TSM, 9W - 9L, VICTORY, TL, DEFEAT, 10W - 8L, SUNDAY, JANUARY 17, 2016 , DAY 2, WEEK 1
IMT, 17W - 1L, VICTORY, TIP, DEFEAT, 5W - 14L, SUNDAY, JANUARY 17, 2016 , DAY 2, WEEK 1
FOX, 6W - 12L, DEFEAT, C9, VICTORY, 12W - 6L, SUNDAY, JANUARY 17, 2016 , DAY 2, WEEK 1
DIG, 4W - 14L, VICTORY, CLG, DEFEAT, 13W - 5L, SUNDAY, JANUARY 17, 2016 , DAY 2, WEEK 1
REN, 6W - 13L, DEFEAT, NRG, VICTORY, 9W - 9L, SUNDAY, JANUARY 17, 2016 , DAY 2, WEEK 1
TIP, 5W - 14L, VICTORY, C9, DEFEAT, 12W - 6L, SATURDAY, JANUARY 23, 2016 , DAY 1, WEEK 2
NRG, 9W - 9L, VICTORY, FOX, DEFEAT, 6W - 12L, SATURDAY, JANUARY 23, 2016 , DAY 1, WEEK 2
DIG, 4W - 14L, VICTORY, REN, DEFEAT, 6W - 13L, SATURDAY, JANUARY 23, 2016 , DAY 1, WEEK 2
TL, 10W - 8L, DEFEAT, CLG, VICTORY, 13W - 5L, SATURDAY, JANUARY 23, 2016 , DAY 1, WEEK 2
TSM, 9W - 9L, DEFEAT, IMT, VICTORY, 17W - 1L, SATURDAY, JANUARY 23, 2016 , DAY 1, WEEK 2
CLG, 13W - 5L, DEFEAT, C9, VICTORY, 12W - 6L, SUNDAY, JANUARY 24, 2016 , DAY 2, WEEK 2
NRG, 9W - 9L, DEFEAT, IMT, VICTORY, 17W - 15L, SUNDAY, JANUARY 24, 2016 , DAY 2, WEEK 2
REN, 6W - 13L, DEFEAT, TIP, VICTORY, 5W - 14L, SUNDAY, JANUARY 24, 2016 , DAY 2, WEEK 2
FOX, 6W - 12L, DEFEAT, TL, VICTORY, 10W - 8L, SUNDAY, JANUARY 24, 2016 , DAY 2, WEEK 2
TSM, 9W - 9L, VICTORY, DIG, DEFEAT, 4W - 14L, SUNDAY, JANUARY 24, 2016 , DAY 2, WEEK 2
IMT, 17W - 1L, VICTORY, REN, DEFEAT, 6W - 13L, SATURDAY, JANUARY 30, 2016 , DAY 1, WEEK 3
