w1d1,TSM,CLG,C9,IMT,DIG,NRG,REN,TL,FOX,TIP,1/16/2016
TSM,,0,,,,,,,,,
CLG,1,,,,,,,,,,
C9,,,,0,,,,,,,
IMT,,,1,,,,,,,,
DIG,,,,,,0,,,,,
NRG,,,,,1,,,,,,
REN,,,,,,,,1,,,
TL,,,,,,,0,,,,
FOX,,,,,,,,,,1,
TIP,,,,,,,,,0,,
,,,,,,,,,,,
w1d2,TSM,CLG,C9,IMT,DIG,NRG,REN,TL,FOX,TIP,1/17/2016
TSM,,,,,,,,0,,,
CLG,,,,,0,,,,,,
C9,,,,,,,,,1,,
IMT,,,,,,,,,,1,
DIG,,1,,,,,,,,,
NRG,,,,,,,1,,,,
REN,,,,,,0,,,,,
TL,1,,,,,,,,,,
FOX,,,0,,,,,,,,
TIP,,,,0,,,,,,,
,,,,,,,,,,,
w2d1,TSM,CLG,C9,IMT,DIG,NRG,REN,TL,FOX,TIP,1/23/2016
TSM,,,,0,,,,,,,
CLG,,,,,,,,0,,,
C9,,,,,,,,,,0,
IMT,1,,,,,,,,,,
DIG,,,,,,1,,,,,
NRG,,,,,,,,,1,,
REN,,,,,0,,,,,,
TL,,0,,,,,,,,,
FOX,,,,,,0,,,,,
TIP,,,1,,,,,,,,
,,,,,,,,,,,
w2d2,TSM,CLG,C9,IMT,DIG,NRG,REN,TL,FOX,TIP,1/24/2016
TSM,,,,,1,,,,,,
CLG,,,0,,,,,,,,
C9,,1,,,,,,,,,
IMT,,,,,,1,,,,,
DIG,0,,,,,,,,,,
NRG,,,,0,,,,,,,
REN,,,,,,,,,,0,
TL,,,,,,,,,1,,
FOX,,,,,,,,0,,,
TIP,,,,,,,1,,,,
,,,,,,,,,,,
w3d1,TSM,CLG,C9,IMT,DIG,NRG,REN,TL,FOX,TIP,1/30/2016
TSM,,,1,,,,,,,,
CLG,,,,,,,,,1,,
C9,0,,,,,,,,,,
IMT,,,,,,,1,,,,
DIG,,,,,,,,,,0,
NRG,,,,0,,,,0,,,
REN,,,,,,,,,,,
TL,,,,,,1,,,,,
FOX,,0,,,,,,,,,
TIP,,,,,1,,,,,,
,,,,,,,,,,,
w3d2,TSM,CLG,C9,IMT,DIG,NRG,REN,TL,FOX,TIP,1/31/2016
TSM,,,,,,0,,,,,
CLG,,,,,,,1,,,,
C9,,,,,1,,,,,,
IMT,,,,,,,,,0,,
DIG,,,0,,,,,,,,
NRG,1,,,,,,,,,,
REN,,0,,,,,,,,,
TL,,,,,,,,,,1,
FOX,,,,0,,,,,,,
TIP,,,,,,,,,0,,
,,,,,,,,,,,
w4d1,TSM,CLG,C9,IMT,DIG,NRG,REN,TL,FOX,TIP,2/6/2016
TSM,,,,,,,,,1,,
CLG,,,,0,,,,,,,
C9,,,,,,,1,,,,
IMT,,1,,,,,,,,,
DIG,,,,,,,,0,,,
NRG,,,,,,,,,,1,
REN,,,0,,,,,,,,
TL,,,,,1,,,,,,
FOX,0,,,,,,,,,,
TIP,,,,,,0,,,,,
,,,,,,,,,,,
w4d2,TSM,CLG,C9,IMT,DIG,NRG,REN,TL,FOX,TIP,2/7/2016
TSM,,,,,,,1,,,,
CLG,,,,,,,,,,1,
C9,,,,,,1,,,,,
IMT,,,,,,,,1,,,
DIG,,,,,,,,,1,,
NRG,,,0,,,,,,,,
REN,0,,,,,,,,,,
TL,,,,0,,,,,,,
FOX,,,,,,0,,,,,
TIP,,0,,,,,,,,,
,,,,,,,,,,,
w5d1,TSM,CLG,C9,IMT,DIG,NRG,REN,TL,FOX,TIP,2/13/2016
TSM,,,,,,,,,,1,
CLG,,,,,,1,,,,,
C9,,,,,,,,1,,,
IMT,,,,,1,,,,,,
DIG,,,,0,,,,,,,
NRG,,0,,,,,,,,,
REN,,,,,,,,,0,,
TL,,,0,,,,,,,,
FOX,,,,,,1,,,,,
TIP,0,,,,,,,,,,
,,,,,,,,,,,
w5d2,TSM,CLG,C9,IMT,DIG,NRG,REN,TL,FOX,TIP,2/14/2016
TSM,,1,,,,,,,,,
CLG,0,,,,,,,,,,
C9,,,,0,,,,,,,
IMT,,,1,,,,,,,,
DIG,,,,,,,,,,0,
NRG,,,,,,,,,0,,
REN,,,,,,1,,0,,,
TL,,,,,,,1,,,,
FOX,,,,,,1,,,,,
TIP,,,,,1,,,,,,
,,,,,,,,,,,
w6d1,TSM,CLG,C9,IMT,DIG,NRG,REN,TL,FOX,TIP,2/20/2016
TSM,,,0,,,,,,,,
CLG,,,,,,,,,,1,
C9,1,,,,,,,,,,
IMT,,,,,,,1,,,,
DIG,,,,,,0,,,,,
NRG,,,,,1,,,,,,
REN,,,,0,,,,,,,
TL,,,,,,,,,1,,
FOX,,,,,,,,0,,,
TIP,,0,,,,,,,,,
,,,,,,,,,,,
w6d2,TSM,CLG,C9,IMT,DIG,NRG,REN,TL,FOX,TIP,2/21/2016
TSM,,,,,0,,,,,,
CLG,,,,,,,0,,,,
C9,,,,,,1,,,,,
IMT,,,,,,,,1,,,
DIG,1,,,,,,,,,,
NRG,,,0,,,,,,,,
REN,,0,,,,,,,,,
TL,,,,0,,,,,,,
FOX,,,,,,,,,,1,
TIP,,,,,,,,,0,,
,,,,,,,,,,,
w7d1,TSM,CLG,C9,IMT,DIG,NRG,REN,TL,FOX,TIP,2/27/2016
TSM,,,,,,,,,1,,
CLG,,,,1,,,,,,,
C9,,,,,1,,,,,,
IMT,,0,,,,,,,,,
DIG,,,0,,,,,,,,
NRG,,,,,,,1,,,,
REN,,,,,,0,,,,,
TL,,,,,,,,,,1,
FOX,0,,,,,,,,,,
TIP,,,,,,,,0,,,
,,,,,,,,,,,
w7d2,TSM,CLG,C9,IMT,DIG,NRG,REN,TL,FOX,TIP,2/28/2016
TSM,,,,,,,,0,,,
CLG,,,1,,,,,,,,
C9,,0,,,,,,,,,
IMT,,,,,,,,,1,,
DIG,,,,,,,0,,,,
